0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,54,56,58,59,60,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
40133,73648,28644,28949,81850,60454,14760,110639,33864,35318,211248,16449,684964,52061,177782,10624,18247,12185,18489,44973,17788,34702,20601,79800,33674,16160,55146,51470,86336,40933,28628,72098,105873,12292,43749,71198,106731,132108,83770,36937,49139,239433,89673,41663,79244,40015,25979,79194,50911,60795,53784,38081,108337,59826,68476,70047,108348,173239,19395,16380,38187,31073,310754,29744,25553,1972,40964,12454,165104,38888,44542,62121,35465,22111,107445,38974,58133,42264,55785,163181,27933,46834,62764,20421,25144,26580,6434,90576,78545,50531,67200,48002,131900,63456,37532,55032,39308,33386,50000,382307,41869,64862,54241,71684,35313,184669,41696,61457,87835,20483,29892,17298,101899,21594,19735,33337,37419,39213,73709,58352,42906,75120,116434,42929,18150,40377,65712,12974,33272,19999,24495,57382,32314,165924,74330,9763,34920,187360,65279,16458,7896,65805,187847,156410,44181,21906,20558
33913,66710,26608,25251,69712,47451,12466,98349,30197,26216,204685,14981,598612,43956,175369,9438,16983,9917,16492,35818,17242,29080,16275,70829,29778,11784,54124,37694,66233,33923,24597,63431,99265,11705,30097,54674,99658,119723,69664,38666,40647,231180,83334,30548,66952,35845,20081,67009,36789,57535,44675,28895,107688,55857,44795,70268,117384,151694,14215,13590,34140,26949,399129,23313,23490,2115,29809,7741,185164,30776,33074,42189,27321,16657,82788,29279,46810,34130,49072,156761,22884,37222,64612,15221,19763,24167,5664,88772,63406,41895,56090,47220,119790,71873,35623,48703,31517,24967,36935,394180,39769,52398,50242,62033,43903,177047,31750,51095,78365,17493,27240,10588,90193,21235,14401,20649,27453,28188,78929,43653,38088,60867,130307,33876,16409,33507,51953,12643,23249,10951,22803,47629,28323,129068,64793,9162,30136,185954,50738,12698,6359,51669,175191,183733,35331,21132,17774
36077,79913,27832,26194,68071,43061,12982,116670,26424,23997,185987,15059,881562,59834,262677,11241,19828,10558,20036,37597,18876,32235,19899,75736,27634,11308,61948,39022,64750,46468,28426,69273,107113,13306,28663,55794,95040,159112,68970,57288,43293,274331,96003,30522,72265,34458,20397,67356,38357,54682,47312,27735,165571,86672,43083,84619,149872,235193,12958,14910,41045,23901,385189,25761,26249,2576,33821,8193,272921,32452,34326,39838,24944,19365,67936,29148,44055,37950,79327,198716,26735,39563,100356,18497,19611,23406,6341,175383,63917,43782,57793,69301,191907,122419,38264,59052,34091,30463,50393,466104,71485,47215,72011,77205,45314,193617,29567,58512,82812,16514,25598,8181,73658,22425,18562,20949,27046,31806,100234,66005,33423,65305,203169,31926,16575,36621,56305,14617,22578,10927,27840,56408,30421,112623,72763,10328,35355,234074,46603,13430,8036,55473,285778,377169,30806,20875,14915
25774,52291,20384,20470,46828,29526,10687,69419,22068,17522,134685,13556,765981,36515,136926,8459,13106,9674,13955,30577,11808,20474,12831,48536,20245,9237,36129,30938,48462,26884,17792,47997,69217,13462,17900,43744,77269,94340,49579,33161,31403,189982,68152,22830,44989,26978,15339,52008,27558,46701,36726,19086,73557,55687,28399,47471,91161,120716,10647,10266,31494,18590,284211,18332,19193,1631,24824,6021,170088,19553,22136,29953,20147,12737,57395,18858,30549,25765,44095,130306,15895,26211,55575,13895,16542,18191,5796,79616,51129,31853,37760,41367,103023,55374,24117,32088,26151,17781,27488,319688,42280,34167,44923,52733,41094,125929,20443,40232,51993,13100,19534,6226,50270,15285,10825,13850,18902,17329,62181,35953,28537,46401,117905,21845,13002,29104,35074,13248,15010,5928,16673,41570,21172,84941,51408,7418,24048,144130,35500,9679,4314,41436,144378,177406,20688,17555,11236
26049,40700,17532,20461,38846,24744,8286,60047,16296,15261,117311,10652,582024,31840,114002,9483,12591,8070,14118,27814,11198,17637,11625,39979,16259,7799,29158,27717,43300,21697,16096,38751,56985,11686,17760,40956,71092,77667,44462,30667,28416,151323,73724,22229,35506,24884,14624,50828,25488,45945,38960,15384,58472,47931,25084,40753,82329,99638,10701,9319,25590,17841,238554,16508,17840,1380,20466,5893,127338,15387,20665,26453,17284,10979,56881,16997,25848,22781,36268,110277,12234,23338,42501,14770,13400,15958,5496,58384,46416,26321,30917,38696,86285,42990,20582,23348,26475,14668,23592,268192,32328,30019,38406,47012,44607,107004,20724,33991,43063,11258,17549,5093,42377,13672,10118,9914,18674,14476,52602,32387,26469,42728,95325,18019,11884,26807,29848,12313,11841,4876,14139,35606,18727,71930,44113,7997,22376,114599,30842,8144,3519,38721,99441,124809,18460,19467,9311
24949,38502,17802,22892,39154,24513,8190,61425,15660,15073,117052,10923,591922,31823,111652,9323,12792,7278,14758,28494,11707,17595,11618,39302,15990,8549,29127,31154,44934,21660,16611,38206,55880,10508,17510,40981,73874,75885,43748,32728,30876,152242,80239,23237,35022,26819,15083,53429,24461,45861,36067,16081,58211,51930,28119,39233,86442,95412,11679,8121,26511,19640,235624,17014,18546,1522,21197,7554,116624,14945,24432,27438,17925,10583,65079,16139,26728,23376,38416,110650,12251,24380,40505,15374,13131,15960,6423,56342,49780,28014,32070,42444,86630,43015,21520,22767,29668,14787,23577,281265,30428,30273,38406,51932,46057,104110,21075,33151,43497,11356,17185,5050,43165,14295,10520,9972,18747,14679,54583,29280,28543,42320,90839,19406,12832,29371,33227,13340,12199,4511,15005,39271,19786,69332,44298,9027,21552,114336,32409,8107,3629,37554,93096,115364,21326,17544,9137
26843,38824,18026,25855,38782,25472,8533,61957,16860,16672,118209,12288,565988,35795,116284,10289,13068,8023,15114,31129,11894,17992,12405,39861,16890,8929,30026,32289,49649,23664,17739,37019,59972,14742,19603,43879,74254,76552,44338,33930,31604,153033,80879,22884,35319,28585,15411,51697,28100,47602,37230,17234,55311,52527,28333,42782,92099,96356,14941,10158,26117,20813,227531,18513,18824,,22350,8521,119477,15634,26894,27053,18230,10974,70223,17039,25579,26720,33073,111331,12605,24203,40770,17256,14302,17136,5991,57480,49650,28546,32894,41427,90465,42279,22476,23381,28970,15448,24409,269306,30108,31063,39630,54864,46148,101683,20260,34622,45994,11693,17617,5577,44318,14584,9886,10112,19234,15495,57310,31221,30248,45980,96511,19211,13537,31760,35312,16546,11986,4979,15951,40386,21551,73089,44187,9029,22994,112873,31231,8528,3569,39852,96371,116945,20602,19219,9141
29378,46146,19921,31286,45165,31282,10769,74152,20455,18904,130091,14009,601470,42753,135476,9752,14300,9729,15689,36635,14268,20040,13880,47529,20478,11523,36050,36432,54719,27998,21512,43173,69573,14234,23924,49776,87627,87637,53568,34543,36048,161209,91626,27191,42973,33897,18819,62567,31225,55189,40347,21320,69521,49258,34366,50589,95785,116094,17136,11501,30929,24235,242203,21837,21637,1725,27289,11858,136314,20120,35782,34800,20933,12041,75125,20265,31246,32858,40861,134793,15550,34063,49933,19597,15168,20847,6193,68300,58600,32275,41774,48815,100266,47542,25861,30070,35890,20220,28245,293639,35419,38031,42643,60529,49999,120324,26120,44159,55172,12899,19811,6415,53022,16484,11269,12204,23765,18963,65435,35950,34913,52960,113324,25674,16316,35326,43433,17851,15690,8379,19338,48270,26076,87230,50586,10407,27400,128818,38403,9659,3897,46190,122077,132695,26157,20860,11707
29293,43607,20371,29747,44034,32125,10137,73949,20487,19234,134166,14479,559820,39830,125955,12503,14843,9543,17651,37620,14171,20081,14327,46328,20080,11199,35356,37332,53894,27329,21426,42850,65161,17529,24365,49559,82257,86328,51827,33817,37847,160824,93477,28317,43650,33045,17472,58366,29566,52148,40503,20955,61281,49903,35639,48709,88144,111268,16708,11271,29955,24531,222114,20500,20014,,27181,10288,125548,19947,33963,34616,21761,13052,78691,19604,29617,29923,37315,127263,15424,30095,46450,19157,15130,19363,6588,63178,60912,32749,40072,45151,97705,44555,25384,29763,37866,18744,29254,308793,32856,37273,40932,61948,51412,118092,25368,42485,52663,13263,19832,6903,55433,16187,11896,13713,23709,18057,65697,37501,32915,53035,104070,25139,14047,34756,40755,19204,14620,6447,17814,47239,23417,84170,49695,10204,27268,120706,36872,11760,4477,46425,111545,132395,27021,23470,12411
28961,46014,20124,31213,44749,29983,10167,80711,21061,21117,137175,14097,646011,39536,139634,12646,15508,9759,17521,34908,14437,22155,15292,47788,19747,10968,36289,34860,54266,25902,22028,43651,66254,19860,23443,47960,79861,98400,51853,40084,35402,180437,95773,27476,45506,30511,17364,59834,28327,50069,43495,20854,69157,52488,33934,54706,114811,118654,12547,9654,30802,23407,268855,22141,21342,1863,24474,11813,144260,20636,29709,30401,21159,13382,83405,20969,29740,29357,40447,134702,14958,29639,55287,17088,16372,17964,7709,65529,58391,33434,37401,57015,103749,53452,24660,29386,35343,19806,29015,315014,40412,38023,42112,55519,63624,126820,24525,39466,52125,14216,20002,5982,53945,18654,12525,12700,23233,18571,65751,35743,32371,50038,109975,23389,14724,31452,39938,22102,14692,6376,17407,46040,22656,83848,52181,10637,27038,135448,35753,11783,4420,42029,116377,143624,23958,26933,10911
27072,41057,20381,25404,42708,28440,8659,65615,20701,17282,121367,13548,561002,35792,114893,12001,15220,19950,17074,31370,13499,21639,14956,42210,17964,9316,33712,32388,49297,24021,20150,41639,59554,17416,21057,46601,74689,79005,46211,34427,36185,147469,88442,24800,39255,29251,16465,54103,25734,48061,38277,18285,54584,54581,29755,47152,88435,100670,11344,9084,29440,24443,229251,21914,19355,1840,21551,10502,122359,17442,27607,28868,19780,12894,75109,18432,28682,25186,37035,115089,13510,27067,43124,15027,15290,16515,6994,57780,54210,32236,34845,46871,91714,44453,22298,30465,29599,15647,26604,270665,31540,34527,36786,58490,49305,111540,23492,36233,47468,14329,18864,6031,47928,15167,11882,11465,21187,16314,59800,31532,30558,47212,95702,21474,13455,29418,36830,16642,15499,6786,15561,39447,21298,78008,48917,8930,23924,116330,33747,10106,3848,39429,98838,123969,26537,22966,12346
30206,40827,19902,27423,38610,26554,9864,61280,20679,15122,116913,12243,508511,33847,111948,11264,15427,20495,18702,34471,12932,21591,15192,41507,16940,10226,30718,32189,45381,24735,18914,39754,58058,15606,21690,44581,72301,74963,44985,27200,35214,131089,97332,23954,36001,28529,16376,54457,27539,49941,38383,19595,52003,51970,30485,44253,87553,93630,12354,9785,29030,25068,206691,23667,18713,1916,23616,9426,121278,16518,24658,26067,19689,12522,69835,17790,28654,24970,35983,110915,12946,25553,40611,17467,14099,15869,6611,55871,54820,30381,34037,48058,90205,39832,21189,24498,33482,15700,25294,247508,34177,36834,36256,55493,56558,101769,23116,35996,45732,13192,20029,5936,43082,15216,12056,10802,23812,16121,55783,31945,30303,48021,95053,21898,13274,30076,35536,18215,14624,8681,15841,38719,20838,74923,50374,10293,25325,106805,33470,10615,4150,39869,93187,114451,25543,27108,12711
31328,45959,23008,35382,43468,28604,10899,66251,20460,16879,125537,13003,593581,40120,123294,13340,14614,24048,21282,41666,13204,23212,18378,44415,18965,12348,33830,34448,52496,27502,22469,43973,63359,15648,24392,51051,78445,81469,46471,34475,39275,143500,109396,28581,36312,33450,18233,64248,30599,53173,42338,21443,56848,57647,35131,47487,101627,102124,17738,11176,32769,24416,239035,25042,20822,2931,26788,11498,129776,17047,27504,31328,22676,13030,83674,20473,29111,29796,42945,113560,15313,28395,48583,23112,14763,18755,6094,64246,59621,34797,35959,56505,94881,49193,23729,25785,39131,16732,30204,264069,35593,38791,43461,65301,60581,108898,25555,41197,49760,14235,21796,7159,44537,17898,12116,14034,27716,18840,57749,35676,33357,55789,103429,23628,15234,34372,39845,21535,17501,8094,17152,46098,23045,84984,54998,11122,29260,116631,37231,12494,4864,46835,100194,118373,24783,29654,12338
32388,48861,24770,38732,45686,30084,11081,68028,18639,18945,122049,12824,619216,44797,128875,14737,16080,29727,24557,45799,14462,23074,19982,49193,21522,13507,33340,38184,55018,29420,24675,47180,64494,15520,25799,51321,78786,86348,49086,35572,47214,148193,117882,29752,39747,35841,19711,62718,34048,55355,44308,22585,64510,59390,39532,50371,102019,108802,19201,13168,35180,25776,246689,25041,21852,2442,34178,14584,136900,17399,29690,36031,24717,13850,92410,20745,31912,30900,41384,116808,16936,31054,47141,23429,16962,18918,7009,66807,64040,36912,38288,61379,99013,47370,25253,24859,44026,17917,31059,285582,39726,43092,48652,74534,70207,113946,28038,45111,53964,15146,22991,8239,46765,18280,13677,16897,31835,20550,62270,39528,34881,58613,108058,26175,16000,38229,44630,25029,19004,8496,17421,49973,24189,93144,56267,10900,32373,126095,43638,13940,4876,47101,106504,126117,29420,28024,13569
